StockCode,Description,Total_Revenue,ABC_Category
82600,"NO SINGING METAL SIGN",3555.059999999996,"A - High Value"
21174,"POTTERING IN THE SHED METAL SIGN",3528.000000000003,"A - High Value"
22125,"UNION JACK HOT WATER BOTTLE ",3520.549999999996,"A - High Value"
20750," RED/WHITE DOT MINI CASES",3520.2300000000027,"A - High Value"
21844,"RETRO SPOT MUG",3511.699999999997,"A - High Value"
21539,"RETRO SPOTS BUTTER DISH",3504.1499999999937,"A - High Value"
21181,"PLEASE ONE PERSON  METAL SIGN",3503.699999999997,"A - High Value"
48129,"DOOR MAT TOPIARY",3491.7899999999972,"A - High Value"
84970S,"HANGING HEART ZINC T-LIGHT HOLDER",3437.4999999999927,"A - High Value"
71459,"HANGING JAM JAR T-LIGHT HOLDER",3430.749999999996,"A - High Value"
21258,"VICTORIAN SEWING BOX LARGE",3386.3999999999987,"A - High Value"
21390,"FILIGRIS HEART WITH BUTTERFLY",3281.28,"A - High Value"
22385,"JUMBO BAG SPACEBOY DESIGN",3276.149999999999,"A - High Value"
79321,"CHILLI LIGHTS",3275.9999999999995,"A - High Value"
82583,"HOT BATHS METAL SIGN",3226.379999999996,"A - High Value"
21035,"SET/2 RED SPOTTY TEA TOWELS ",3212.1999999999975,"A - High Value"
79323W,"WHITE CHERRY LIGHTS",3204.100000000001,"A - High Value"
20718,"RED SPOTTY SHOPPER BAG",3197.2,"A - High Value"
84755,"COLOUR GLASS T-LIGHT HOLDER HANGING",3194.400000000003,"A - High Value"
84970L,"SINGLE HEART ZINC T-LIGHT HOLDER",3190.770000000006,"A - High Value"
21210,"SET OF 72 RETRO SPOT PAPER  DOILIES",3182.0500000000025,"A - High Value"
22243,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",3176.400000000001,"A - High Value"
84937,"KASHMIR FOLKART TUMBLERS",3171.399999999997,"A - High Value"
21982,"PACK OF 12 SUKI TISSUES ",3164.2999999999997,"A - High Value"
22348,"TEA BAG PLATE RED SPOTTY ",3126.0599999999968,"A - High Value"
72760B,"VINTAGE CREAM 3 BASKET CAKE STAND",3124.8500000000013,"A - High Value"
15056P,"EDWARDIAN PARASOL PINK",3120.0999999999967,"A - High Value"
21484,"CHICK GREY HOT WATER BOTTLE",3099.450000000001,"A - High Value"
21533,"RETRO SPOT LARGE MILK JUG",3097.2999999999934,"A - High Value"
22178,"VICTORIAN GLASS HANGING T-LIGHT",3070.040000000001,"A - High Value"
21481,"FAWN BLUE HOT WATER BOTTLE",3060.199999999996,"A - High Value"
20972,"PINK CREAM FELT CRAFT TRINKET BOX ",3040.1099999999997,"A - High Value"
20747,"PICCADILLY TEA SET",3039.9499999999994,"A - High Value"
22352,"LUNCHBOX WITH CUTLERY RETROSPOT ",3030.750000000003,"A - High Value"
22381,"TOY TIDY PINK RETROSPOT  ",3024.599999999999,"A - High Value"
22353,"LUNCHBOX WITH CUTLERY FAIRY CAKES ",3008.7000000000044,"A - High Value"
21041,"RED SPOTTY OVEN GLOVE DOUBLE",2996.95,"A - High Value"
21559,"STRAWBERRY LUNCHBOX WITH CUTLERY",2983.200000000004,"A - High Value"
21930,"JUMBO STORAGE BAG SKULLS",2981.8499999999985,"A - High Value"
37410,"BLACK AND WHITE PAISLEY FLOWER MUG",2978.77,"A - High Value"
22064,"PINK DOUGHNUT TRINKET POT ",2959.6500000000033,"A - High Value"
21213,"PACK OF 72 SKULL CAKE CASES",2950.989999999999,"A - High Value"
21477,"STRING OF 20 ROSE LIGHTS",2949.75,"A - High Value"
22382,"LUNCH BAG SPACEBOY DESIGN ",2941.7000000000016,"A - High Value"
21121,"SET/10 RED SPOTTY PARTY CANDLES",2935.19,"A - High Value"
20711,"JUMBO BAG TOYS ",2875.2999999999997,"A - High Value"
22275,"WEEKEND BAG VINTAGE ROSE PAISLEY",2873,"A - High Value"
20754,"RETRO RED SPOTTY WASHING UP GLOVES",2827.7399999999925,"A - High Value"
21156,"RED SPOTTY CHILDS APRON",2818.949999999996,"A - High Value"
22274,"FELTCRAFT DOLL EMILY",2817.6,"A - High Value"
21877,"HOME SWEET HOME MUG",2791.02,"A - High Value"
84909A,"PINK PAISLEY QUILT ",2784.8,"A - High Value"
35004C,"SET OF 3 COLOURED  FLYING DUCKS",2778.7499999999986,"A - High Value"
21165,"BEWARE OF THE CAT METAL SIGN ",2776.130000000006,"A - High Value"
21871,"SAVE THE PLANET MUG",2774.5699999999997,"A - High Value"
22384,"LUNCH BAG PINK RETROSPOT",2769.350000000003,"A - High Value"
22273,"FELTCRAFT DOLL MOLLY",2768.3000000000006,"A - High Value"
21523,"DOOR MAT FANCY FONT HOME SWEET HOME",2758.35,"A - High Value"
84839,"SWEETHEART KEY CABINET",2744.35,"A - High Value"
20749,"ASSORTED COLOUR MINI CASES",2739.980000000002,"A - High Value"
21975,"PACK OF 60 DINOSAUR CAKE CASES",2702.2499999999995,"A - High Value"
21479,"WHITE SKULL HOT WATER BOTTLE ",2694.9599999999996,"A - High Value"
22383,"LUNCH BAG SUKI  DESIGN ",2685.8000000000015,"A - High Value"
21935,"SUKI  SHOULDER BAG",2676.9,"A - High Value"
21903,"MAN FLU METAL SIGN",2674.199999999999,"A - High Value"
85150,"LADIES & GENTLEMEN METAL SIGN",2666.2499999999995,"A - High Value"
84378,"SET OF 3 HEART COOKIE CUTTERS",2662.6400000000003,"A - High Value"
22457,"NATURAL SLATE HEART CHALKBOARD ",2653.4000000000005,"A - High Value"
84978,"HANGING HEART JAR T-LIGHT HOLDER",2651.2399999999993,"A - High Value"
21781,"MA CAMPAGNE CUTLERY BOX",2622.2999999999993,"A - High Value"
22380,"TOY TIDY SPACEBOY  ",2617.9999999999995,"A - High Value"
21955,"DOOR MAT UNION JACK GUNS AND ROSES",2616.519999999999,"A - High Value"
21791,"VINTAGE HEADS AND TAILS CARD GAME ",2613.1,"A - High Value"
85047,"WHITE BEADED GARLAND STRING 20LIGHT",2589.75,"A - High Value"
21936,"RED/WHITE SPOT PICNIC BAG",2587.7500000000005,"A - High Value"
20724,"RED SPOTTY CHARLOTTE BAG",2569.500000000001,"A - High Value"
21033,"JUMBO BAG CHARLIE AND LOLA TOYS",2561.6499999999987,"A - High Value"
84968D,"S/16 VINTAGE RED CUTLERY",2556.45,"A - High Value"
22413,"METAL SIGN TAKE IT OR LEAVE IT ",2548.9199999999996,"A - High Value"
22499,"WOODEN UNION JACK BUNTING",2533.5,"A - High Value"
22283,"6 EGG HOUSE PAINTED WOOD",2517.8500000000026,"A - High Value"
21756,"BATH BUILDING BLOCK WORD",2488.499999999998,"A - High Value"
21488,"RED WHITE SCARF  HOT WATER BOTTLE",2482.45,"A - High Value"
84375,"SET OF 20 KIDS COOKIE CUTTERS",2479.050000000002,"A - High Value"
21124,"SET/10 BLUE SPOTTY PARTY CANDLES",2472.69,"A - High Value"
21042,"RED SPOTTY APRON ",2470.1999999999994,"A - High Value"
22131,"FOOD CONTAINER SET 3 LOVE HEART ",2465.2499999999995,"A - High Value"
21868,"POTTING SHED TEA MUG",2454.6699999999996,"A - High Value"
84949,"SILVER HANGING T-LIGHT HOLDER",2453.700000000001,"A - High Value"
21737,"SET 3 WICKER LOG BASKETS",2409.6000000000004,"A - High Value"
21749,"LARGE RED SPOT WINDMILL",2400.000000000001,"A - High Value"
21411,"GINGHAM HEART  DOORSTOP RED",2395.54,"A - High Value"
22282,"12 EGG HOUSE PAINTED WOOD",2358.8,"A - High Value"
21122,"SET/10 PINK SPOTTY PARTY CANDLES",2350.7200000000003,"A - High Value"
79323GR,"GREEN CHERRY LIGHTS",2341.2999999999997,"A - High Value"
82001S,"VINYL RECORD FRAME SILVER",2322.7499999999995,"A - High Value"
84792,"ENCHANTED BIRD COATHANGER 5 HOOK",2316.2100000000005,"A - High Value"
22146,"EASTER CRAFT IVY WREATH WITH CHICK",2309.7000000000003,"A - High Value"
85206B,"PINK FELT EASTER EGG BASKET",2285.150000000003,"A - High Value"
22173,"METAL 4 HOOK HANGER FRENCH CHATEAU",2276.749999999999,"A - High Value"
22180,"RETRO SPOT LAMP",2261.200000000001,"A - High Value"
21136,"PAINTED METAL PEARS ASSORTED",2252.7799999999984,"A - High Value"
21912,"VINTAGE SNAKES & LADDERS",2245.7999999999997,"A - High Value"
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",2238.45,"A - High Value"
20828,"GLITTER BUTTERFLY CLIPS",2234.5500000000006,"A - High Value"
21437,"24 HANGING EASTER EGGS FLORAL TUB",2225.8500000000004,"A - High Value"
21777,"RECIPE BOX WITH METAL HEART",2225.8000000000034,"A - High Value"
22072,"TEA CUP AND SAUCER RETRO SPOT",2222.73,"A - High Value"
22244,"HOOK, 3 HANGER ,MAGIC GARDEN",2221.200000000002,"A - High Value"
21590,"KINGS CHOICE CIGAR BOX MATCHES ",2211.81,"A - High Value"
84077,"WORLD WAR 2 GLIDERS ASSTD DESIGNS",2210.4899999999984,"A - High Value"
22073,"RETRO SPOT STORAGE JAR",2193.87,"A - High Value"
79072,"TEATIME CAKE TIN WITH HANDLE",2178.450000000001,"A - High Value"
21257,"VICTORIAN SEWING BOX MEDIUM",2177.5000000000027,"A - High Value"
22367,"CHILDS APRON SPACEBOY DESIGN",2157.449999999998,"A - High Value"
21717,"EASTER TIN BUCKET",2147.7000000000016,"A - High Value"
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",2143.95,"A - High Value"
22358,"KINGS CHOICE TEA CADDY ",2143.8000000000025,"A - High Value"
22291,"SPRING DEC , HANGING CHICK CREAM",2133.5499999999993,"A - High Value"
75049L,"LARGE CIRCULAR MIRROR MOBILE",2130.2999999999997,"A - High Value"
84880,"WHITE WIRE EGG HOLDER",2116.6,"A - High Value"
21985,"PACK OF 12 HEARTS DESIGN TISSUES ",2111.8800000000024,"A - High Value"
21231,"SWEETHEART CERAMIC TRINKET BOX",2111.4199999999996,"A - High Value"
ADJUST,"Adjustment by john on 26/01/2010 16",2107.4100000000003,"A - High Value"
22113,"GREY HEART HOT WATER BOTTLE",2104.2,"A - High Value"
82552,"WASHROOM METAL SIGN",2102.6,"A - High Value"
22087,"PAPER BUNTING WHITE LACE",2095.750000000002,"A - High Value"
84469,"ROSE DES PADDED FLOOR CUSHION",2090.68,"A - High Value"
85065,"CREAM SWEETHEART TRAYS",2088.75,"A - High Value"
47567B,"TEA TIME KITCHEN APRON",2084.7499999999995,"A - High Value"
22197,"POPCORN HOLDER , SMALL ",2077.2999999999997,"A - High Value"
20719,"WOODLAND CHARLOTTE BAG",2073.85,"A - High Value"
21260,"FIRST AID TIN",2073.75,"A - High Value"
21428,"SET3 BOOK BOX GREEN GINGHAM FLOWER ",2070.5,"A - High Value"
85014C,"BLUE/BROWN DOTS RUFFLED UMBRELLA",2066.7000000000003,"A - High Value"
21790,"VINTAGE SNAP CARDS",2062.9900000000016,"A - High Value"
22300,"COFFEE MUG DOG + BALL DESIGN",2060.0999999999976,"A - High Value"
22301,"COFFEE MUG CAT + BIRD DESIGN",2060.099999999997,"A - High Value"
21385,"IVORY HANGING DECORATION  HEART",2057.200000000001,"A - High Value"
21624,"VINTAGE UNION JACK DOORSTOP",2053.65,"A - High Value"
72807C,"SET/3 VANILLA SCENTED CANDLE IN BOX",2039.15,"A - High Value"
21355,"TOAST ITS - I LOVE YOU ",2032.8000000000002,"A - High Value"
21592,"RETRO SPOT  CIGAR BOX MATCHES ",2032.0900000000001,"A - High Value"
22285,"DECORATION HEN ON NEST, HANGING",2030.399999999999,"A - High Value"
47556B,"TEA TIME TEA TOWELS ",2026.6500000000024,"A - High Value"
22148,"EASTER CRAFT 4 CHICKS ",2016.450000000002,"A - High Value"
72351B,"SET/6 PINK  BUTTERFLY T-LIGHTS",2015.3400000000006,"A - High Value"
20682,"RED SPOTTY CHILDS UMBRELLA",2014.5,"A - High Value"
22241,"GARLAND WOODEN HAPPY EASTER",2014.03,"A - High Value"
21770,"OPEN CLOSED METAL SIGN",2009.2500000000045,"A - High Value"
22109,"FULL ENGLISH BREAKFAST PLATE",2004.96,"A - High Value"
21728,"METAL MEDINA LANTERN ",2003.8500000000001,"A - High Value"
22355,"CHARLOTTE BAG , SUKI DESIGN",2000.6999999999996,"A - High Value"
21186,"WHITE DOVE HONEYCOMB PAPER GARLAND",1998.7999999999997,"B - Medium Value"
48197,"DOOR MAT BIRD ON THE WIRE",1991.5800000000004,"B - Medium Value"
21672,"WHITE SPOT RED CERAMIC DRAWER KNOB",1972.83,"B - Medium Value"
22179,"SET 10 LIGHTS NIGHT OWL",1968.4499999999998,"B - Medium Value"
21531,"RETRO SPOT SUGAR JAM BOWL",1963.349999999998,"B - Medium Value"
22215,"CAKE STAND WHITE TWO TIER LACE",1961.7999999999997,"B - Medium Value"
22303,"COFFEE MUG APPLES DESIGN",1959.7499999999977,"B - Medium Value"
22498,"WOODEN REGATTA BUNTING",1956.3499999999997,"B - Medium Value"
84947,"ANTIQUE SILVER TEA GLASS ENGRAVED",1935.84,"B - Medium Value"
21429,"RED GINGHAM ROSE JEWELLERY BOX",1932.450000000001,"B - Medium Value"
22193,"RED DINER WALL CLOCK",1931.2,"B - Medium Value"
22122,"SET OF 2 FANCY FONT TEA TOWELS",1915.4500000000005,"B - Medium Value"
21169,"YOU'RE CONFUSING ME METAL SIGN ",1915.2800000000007,"B - Medium Value"
20970,"PINK FLORAL FELTCRAFT SHOULDER BAG",1913.82,"B - Medium Value"
22041,"RECORD FRAME 7" SINGLE SIZE "",1910.6999999999991,"B - Medium Value"
22195,"LARGE HEART MEASURING SPOONS",1895.6999999999985,"B - Medium Value"
85174,"S/4 CACTI CANDLES",1877.8500000000004,"B - Medium Value"
22063,"CERAMIC BOWL WITH STRAWBERRY DESIGN",1876.6500000000005,"B - Medium Value"
22192,"BLUE DINER WALL CLOCK",1875.0999999999997,"B - Medium Value"
21498,"RED SPOTS  WRAP ",1863,"B - Medium Value"
47505,"MINATURE COLOURED GARDENING SET",1855.2,"B - Medium Value"
21108,"FAIRY CAKE FLANNEL ASSORTED COLOUR",1836.7500000000011,"B - Medium Value"
22079,"RIBBON REEL HEARTS DESIGN ",1832.65,"B - Medium Value"
21715,"GIRLS VINTAGE TIN SEASIDE BUCKET",1822.9500000000014,"B - Medium Value"
22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",1822.8000000000002,"B - Medium Value"
47599A,"PINK PARTY BAGS",1818.3000000000006,"B - Medium Value"
21091,"SET/6 WOODLAND PAPER PLATES",1817.1599999999996,"B - Medium Value"
21563,"RED HEART SHAPE LOVE BUCKET ",1814.800000000002,"B - Medium Value"
16014,"SMALL CHINESE STYLE SCISSOR",1801.6800000000003,"B - Medium Value"
48189,"DOOR MAT FRIENDSHIP ",1795.7500000000005,"B - Medium Value"
22082,"RIBBON REEL STRIPES DESIGN ",1795.6000000000004,"B - Medium Value"
22349,"DOG BOWL , CHASING BALL DESIGN",1795.44,"B - Medium Value"
84968C,"S/16 VINTAGE PISTACHIO CUTLERY",1793.5499999999997,"B - Medium Value"
21085,"SET/6 WOODLAND PAPER CUPS",1791.1200000000003,"B - Medium Value"
35961,"FOLKART ZINC HEART CHRISTMAS DEC",1790.67,"B - Medium Value"
85206A,"CREAM FELT EASTER EGG BASKET",1785.6000000000001,"B - Medium Value"
84032A,"CHARLIE+LOLA PINK HOT WATER BOTTLE",1780.3000000000013,"B - Medium Value"
22417,"PACK OF 60 SPACEBOY CAKE CASES",1777.3000000000009,"B - Medium Value"
51008,"AFGHAN SLIPPER SOCK PAIR",1776.8000000000002,"B - Medium Value"
22271,"FELTCRAFT DOLL ROSIE",1774.350000000003,"B - Medium Value"
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",1774.35,"B - Medium Value"
21669,"BLUE STRIPE CERAMIC DRAWER KNOB",1773.86,"B - Medium Value"
21432,"SET OF 3 CASES WOODLAND DESIGN",1766.650000000002,"B - Medium Value"
84968E,"S/16 VINTAGE BLACK CUTLERY",1755.2999999999997,"B - Medium Value"
85132A,"CHARLIE + LOLA BISCUITS TINS",1753.700000000001,"B - Medium Value"
21937,"STRAWBERRY   PICNIC BAG",1752.9000000000015,"B - Medium Value"
37502,"TEA TIME MUG IN GIFT BOX",1752.2000000000023,"B - Medium Value"
21745,"GAOLERS KEYS DECORATIVE GARDEN ",1749.17,"B - Medium Value"
21100,"CHARLIE AND LOLA CHARLOTTE BAG",1747.0500000000009,"B - Medium Value"
22329,"ROUND CONTAINER SET OF 5 RETROSPOT",1746.5999999999992,"B - Medium Value"
21875,"KINGS CHOICE MUG",1739.21,"B - Medium Value"
21584,"RETRO SPOT SMALL TUBE MATCHES",1737.15,"B - Medium Value"
21114,"LAVENDER SCENTED FABRIC HEART",1730.6999999999998,"B - Medium Value"
22170,"PICTURE FRAME WOOD TRIPLE PORTRAIT",1727.0500000000002,"B - Medium Value"
21259,"VICTORIAN SEWING BOX SMALL ",1724.8000000000006,"B - Medium Value"
21667,"GLASS CAKE COVER AND PLATE",1722.6000000000008,"B - Medium Value"
21614,"SET OF 12 ROSE BOTANICAL T-LIGHTS",1719.8500000000013,"B - Medium Value"
20677,"PINK SPOTTY BOWL",1712.0900000000001,"B - Medium Value"
20979,"36 PENCILS TUBE RED SPOTTY",1711.4700000000003,"B - Medium Value"
21934,"SKULL SHOULDER BAG",1701.6500000000008,"B - Medium Value"
22292,"SPRING DEC , HANGING CHICK  YELLOW",1701.0499999999993,"B - Medium Value"
